Name;Sex;Birth Date;Address;Phone Number;Email;SNS User Number;Citizen Card Number
Alícia Monteiro;;06/07/1969;Rua  Vanzeleres|395|4100-482|PORTO;953231211;953231211@gmail.com;161600000;10102710
Lucca Rocha;;09/09/1970;Avenida  Vasco da Gama|105|4100-489|PORTO;953231212;953231212@gmail.com;161600001;10102711
Luiz Henrique Lima;;16/01/1971;Avenida  Vasco da Gama|318|4100-490|PORTO;953231213;953231213@gmail.com;161600002;10102712
Natália da Conceição;;08/07/1971;Avenida  Vasco da Gama|507|4100-488|PORTO;953231214;953231214@gmail.com;161600003;10102713
João Miguel Vieira;;03/03/1967;Avenida  Vasco da Gama|164|4100-491|PORTO;953231215;953231215@gmail.com;161600004;10102714
Henrique da Rosa;;28/06/1971;Avenida  Vasco da Gama|218|4100-485|PORTO;953231216;953231216@gmail.com;161600005;10102715
Alícia da Rocha;;20/05/1973;Avenida  Vasco da Gama|263|4100-485|PORTO;953231217;953231217@gmail.com;161600006;10102716
Pietro Nogueira;;20/08/1969;Avenida  Vasco da Gama|512|4100-486|PORTO;953231218;953231218@gmail.com;161600007;10102717
Gabriela da Rosa;;21/03/1971;Avenida  Vasco da Gama|252|4100-487|PORTO;953231219;953231219@gmail.com;161600008;10102718
Stella Jesus;;11/08/1969;Rua  Vasco Lima Couto|307|4250-494|PORTO;953231220;953231220@gmail.com;161600009;10102719
Nathan Rodrigues;;01/09/1968;Rua  Vasco Lobeira|238|4200-516|PORTO;953231221;953231221@gmail.com;161600010;10102720
Lorena Monteiro;;03/02/1970;Rua  Vasco Lobeira|545|4200-515|PORTO;953231222;953231222@gmail.com;161600011;10102721
Sra. Lavínia Silva;;31/03/1967;Rua  Vasco Lobeira|77|4249-9|PORTO;953231223;953231223@gmail.com;161600012;10102722
João Felipe Barbosa;;04/05/1972;Rua  Vasques de Mesquita|338|4350-339|PORTO;953231224;953231224@gmail.com;161600013;10102723
Sra. Alícia Correia;;21/10/1970;Rua  Vasques de Mesquita|493|4350-338|PORTO;953231225;953231225@gmail.com;161600014;10102724
Kamilly Porto;;05/05/1969;Rua  Vasques de Mesquita|570|4350-337|PORTO;953231226;953231226@gmail.com;161600015;10102725
Leonardo Fogaça;;22/11/1969;Travessa  Vasques de Mesquita|395|4350-340|PORTO;953231227;953231227@gmail.com;161600016;10102726
Juan Farias;;08/03/1969;Rotunda  Freixo|460|4300-10|PORTO;953231228;953231228@gmail.com;161600017;10102727
Elisa Nunes;;22/01/1971;Avenida  Bessa|44|4100-12|PORTO;953231229;953231229@gmail.com;161600018;10102728
André Araújo;;05/09/1971;Rotunda  Bessa|489|4100-12|PORTO;953231230;953231230@gmail.com;161600019;10102729
Alice Pinto;;04/06/1969;Largo  Passadiço|335|4100-209|PORTO;953231231;953231231@gmail.com;161600020;10102730
Brenda Rodrigues;;03/02/1970;Travessa  Veloso|258|4200-518|PORTO;953231232;953231232@gmail.com;161600021;10102731
Raul Viana;;08/10/1970;Travessa  Veloso|191|4200-517|PORTO;953231233;953231233@gmail.com;161600022;10102732
Vitória Vieira;;12/08/1970;Rua Brigadeiro Nunes da Ponte|575|4150-36|PORTO;953231234;953231234@gmail.com;161600023;10102733
Brenda da Cruz;;07/01/1970;Rua  Veludo|483|4150-741|PORTO;953231235;953231235@gmail.com;161600024;10102734
Fernanda Teixeira;;12/10/1969;Rua  Venezuela|199|4150-744|PORTO;953231236;953231236@gmail.com;161600025;10102735
Marina da Rosa;;23/02/1967;Rua  Venezuela|107|4150-743|PORTO;953231237;953231237@gmail.com;161600026;10102736
Alana Oliveira;;10/01/1971;Rua  Venezuela|108|4150-742|PORTO;953231238;953231238@gmail.com;161600027;10102737
Lorena Pereira;;11/01/1971;Rua  Armando Cardoso|553|4200-90|PORTO;953231239;953231239@gmail.com;161600028;10102738
João Pedro Cardoso;;13/08/1970;Rua  Armando Cardoso|177|4200-88|PORTO;953231240;953231240@gmail.com;161600029;10102739
Beatriz da Mota;;14/01/1972;Rua  Armando Cardoso|147|4200-89|PORTO;953231241;953231241@gmail.com;161600030;10102740
Dr. Luiz Felipe da Mota;;02/04/1965;Rua  Vera Cruz|146|4300-496|PORTO;953231242;953231242@gmail.com;161600031;10102741
Nicolas da Luz;;26/04/1968;Rua  Vera Cruz|394|4300-497|PORTO;953231243;953231243@gmail.com;161600032;10102742
Maria Eduarda Lopes;;04/11/1968;Rua  Vera Cruz|273|4300-495|PORTO;953231244;953231244@gmail.com;161600033;10102743
Lorenzo Almeida;;04/02/1966;Escadas  Verdades|58|4050-622|PORTO;953231245;953231245@gmail.com;161600034;10102744
Thiago da Rosa;;12/03/1965;Rua  Sociedade Nacional de Fósforos|173|4150-37|PORTO;953231246;953231246@gmail.com;161600035;10102745
Vitória Nogueira;;06/09/1963;Rua  Vermoim|460|4100-498|PORTO;953231247;953231247@gmail.com;161600036;10102746
Vitória Cardoso;;18/05/1968;Rua  Vez|174|4200-519|PORTO;953231248;953231248@gmail.com;161600037;10102747
Lavínia da Rosa;;26/03/1966;  Túnel da Ribeira|453|4050-321|PORTO;953231249;953231249@gmail.com;161600038;10102748
Enzo Caldeira;;30/05/1967;Rua  Lagarteiro|480|4300-283|PORTO;953231250;953231250@gmail.com;161600039;10102749
Emanuella Martins;;20/07/1963;Rua  Lagarteiro|495|4300-286|PORTO;953231251;953231251@gmail.com;161600040;10102750
Joaquim Fogaça;;12/09/1966;Rua  Lagarteiro|452|4300-285|PORTO;953231252;953231252@gmail.com;161600041;10102751
Kamilly Barros;;28/07/1967;Rua  Lagarteiro|323|4300-284|PORTO;953231253;953231253@gmail.com;161600042;10102752
Júlia da Rocha;;16/05/1968;Rua  Lagarteiro|553|4300-283|PORTO;953231254;953231254@gmail.com;161600043;10102753
Natália das Neves;;06/04/1965;Rua  Lage|560|4050-329|PORTO;953231255;953231255@gmail.com;161600044;10102754
Alexandre Viana;;19/06/1966;Travessa  Lage|10|4050-330|PORTO;953231256;953231256@gmail.com;161600045;10102755
Sr. João Miguel Carvalho;;28/07/1966;Beco  Lamas|470|4200-362|PORTO;953231257;953231257@gmail.com;161600046;10102756
Srta. Alana Moreira;;07/05/1964;Travessa  Lamas|236|4200-363|PORTO;953231258;953231258@gmail.com;161600047;10102757
Yuri Melo;;19/10/1965;Viela  Lamas|520|4200-364|PORTO;953231259;953231259@gmail.com;161600048;10102758
Maria Fernanda Monteiro;;04/06/1965;Rua  Lameira de Baixo|548|4300-527|PORTO;953231260;953231260@gmail.com;161600049;10102759
Daniela da Paz;;14/09/1962;Rua  Lameira de Baixo|429|4300-294|PORTO;953231261;953231261@gmail.com;161600050;10102760
Valentina Cavalcanti;;04/04/1965;Rua  Lameira de Baixo|20|4300-293|PORTO;953231262;953231262@gmail.com;161600051;10102761
Luiz Henrique Araújo;;13/11/1966;Rua  Lameira de Baixo|196|4300-527|PORTO;953231263;953231263@gmail.com;161600052;10102762
João Gabriel Oliveira;;27/02/1965;Rua  Lameira de Baixo|531|4300-289|PORTO;953231264;953231264@gmail.com;161600053;10102763
Giovanna Nogueira;;12/07/1965;Rua  Lameira de Baixo|91|4300-294|PORTO;953231265;953231265@gmail.com;161600054;10102764
Lívia Lopes;;07/11/1965;Rua  Lameira de Cima|214|4350-209|PORTO;953231266;953231266@gmail.com;161600055;10102765
Sra. Maria Fernanda Nascimento;;17/01/1965;Rua  Álvaro de CastelÁµes|475|4200-44|PORTO;953231267;953231267@gmail.com;161600056;10102766
Davi Lucas Araújo;;12/01/1969;Rua  Álvaro de CastelÁµes|189|4200-45|PORTO;953231268;953231268@gmail.com;161600057;10102767
Diogo Correia;;07/08/1964;Rua  Álvaro de CastelÁµes|464|4200-46|PORTO;953231269;953231269@gmail.com;161600058;10102768
Letícia da Rosa;;09/01/1969;Rua  Álvaro de CastelÁµes|493|4200-47|PORTO;953231270;953231270@gmail.com;161600059;10102769
Olivia Rezende;;03/03/1967;Rua  Álvaro de CastelÁµes|547|4200-38|PORTO;953231271;953231271@gmail.com;161600060;10102770
Henrique Silva;;23/12/1968;Rua  Álvaro de CastelÁµes|600|4200-37|PORTO;953231272;953231272@gmail.com;161600061;10102771
Lívia Freitas;;02/08/1965;Rua  Álvaro de CastelÁµes|510|4200-39|PORTO;953231273;953231273@gmail.com;161600062;10102772
Maria Sophia Ramos;;20/08/1964;Rua  Álvaro de CastelÁµes|600|4200-40|PORTO;953231274;953231274@gmail.com;161600063;10102773
Julia da Mata;;08/05/1965;Rua  Álvaro de CastelÁµes|298|4200-41|PORTO;953231275;953231275@gmail.com;161600064;10102774
Ana Clara da Cruz;;26/06/1963;Rua  Álvaro de CastelÁµes|206|4200-42|PORTO;953231276;953231276@gmail.com;161600065;10102775
Dra. Julia Nunes;;13/02/1966;Rua  Álvaro de CastelÁµes|141|4200-43|PORTO;953231277;953231277@gmail.com;161600066;10102776
Vitória Cardoso;;28/03/1968;Largo  Lapa|567|4050-69|PORTO;953231278;953231278@gmail.com;161600067;10102777
Maysa Moura;;24/02/1967;Rua  Lapa|358|4050-332|PORTO;953231279;953231279@gmail.com;161600068;10102778
Dra. Daniela Azevedo;;23/08/1967;Travessa  Lapa|349|4050-333|PORTO;953231280;953231280@gmail.com;161600069;10102779
Dr. Eduardo Costa;;11/06/1964;Calçada  Laranjeiras|265|4150-450|PORTO;953231281;953231281@gmail.com;161600070;10102780
Davi Lucas Caldeira;;05/09/1966;Rua  Laranjeiras|344|4150-451|PORTO;953231282;953231282@gmail.com;161600071;10102781
Lucas Gabriel Barros;;30/05/1968;Travessa  Laranjeiras|388|4150-452|PORTO;953231283;953231283@gmail.com;161600072;10102782
Luigi da Mota;;25/07/1965;Rua  Latino Coelho|480|4000-316|PORTO;953231284;953231284@gmail.com;161600073;10102783
Dr. Enrico Monteiro;;10/09/1966;Rua  Latino Coelho|146|4000-315|PORTO;953231285;953231285@gmail.com;161600074;10102784
Dr. João Guilherme Lima;;04/05/1965;Rua  Latino Coelho|382|4000-313|PORTO;953231286;953231286@gmail.com;161600075;10102785
Henrique da Mata;;11/10/1967;Rua  Latino Coelho|248|4000-314|PORTO;953231287;953231287@gmail.com;161600076;10102786
Daniel Silva;;11/06/1965;Rua  Latino Coelho|146|4049-32|PORTO;953231288;953231288@gmail.com;161600077;10102787
Gustavo Campos;;27/11/1965;Rua  Latino Coelho|239|4049-72|PORTO;953231289;953231289@gmail.com;161600078;10102788
Carlos Eduardo Silva;;04/04/1967;Calçada  Leal|358|4000-318|PORTO;953231290;953231290@gmail.com;161600079;10102789
Ana Júlia Rocha;;12/11/1965;Travessa  Álvaro de CastelÁµes|477|4200-49|PORTO;953231291;953231291@gmail.com;161600080;10102790
Rafaela Sales;;26/07/1968;Travessa  Álvaro de CastelÁµes|32|4200-50|PORTO;953231292;953231292@gmail.com;161600081;10102791
Vitor Gabriel Aragão;;22/06/1966;Travessa  Álvaro de CastelÁµes|580|4200-48|PORTO;953231293;953231293@gmail.com;161600082;10102792
Letícia da Luz;;03/03/1965;Largo  Leal|298|4000-319|PORTO;953231294;953231294@gmail.com;161600083;10102793
Alexia Pires;;26/05/1965;Rua  Bairro do Leal|47|4000-320|PORTO;953231295;953231295@gmail.com;161600084;10102794
Maria Luiza Martins;;17/07/1963;Travessa  Leal|536|4000-321|PORTO;953231296;953231296@gmail.com;161600085;10102795
Ana Lívia da Cruz;;14/11/1967;Rua  Leça|307|4150-453|PORTO;953231297;953231297@gmail.com;161600086;10102796
Sr. Kevin Santos;;25/01/1967;Rua  Leonardo Coimbra|472|4200-365|PORTO;953231298;953231298@gmail.com;161600087;10102797
Kamilly Pereira;;24/04/1969;Rua  Levada|313|4300-295|PORTO;953231299;953231299@gmail.com;161600088;10102798
Diogo Martins;;07/11/1966;Travessa  Levada|107|4300-296|PORTO;953231300;953231300@gmail.com;161600089;10102799
Gabriel Ramos;;08/09/1967;Rua  Álvaro Gomes|454|4150-64|PORTO;953231301;953231301@gmail.com;161600090;10102800
Isis Aragão;;14/11/1965;Rua  Álvaro Gomes|137|4150-63|PORTO;953231302;953231302@gmail.com;161600091;10102801
Yasmin Castro;;29/08/1965;Praça  Liberdade|160|4000-322|PORTO;953231303;953231303@gmail.com;161600092;10102802
Sra. Ana Lívia Cunha;;22/11/1968;Praça  Liberdade|261|4049-66|PORTO;953231304;953231304@gmail.com;161600093;10102803
Luiza Dias;;10/06/1971;Rua  Liberdade|298|4050-335|PORTO;953231305;953231305@gmail.com;161600094;10102804
Vitor Cardoso;;04/08/1971;Rua  Liberdade|599|4050-334|PORTO;953231306;953231306@gmail.com;161600095;10102805
João Fogaça;;14/10/1971;Travessa  Liceiras|97|4000-323|PORTO;953231307;953231307@gmail.com;161600096;10102806
Clara Martins;;08/02/1970;Escadas  Carolina Michaelis Vasconcelos|22|4050-336|PORTO;953231308;953231308@gmail.com;161600097;10102807
Gabrielly Pires;;22/05/1970;Rua  Lidador|176|4100-307|PORTO;953231309;953231309@gmail.com;161600098;10102808
Vitória Souza;;28/10/1971;Rua  Lidador|304|4100-308|PORTO;953231310;953231310@gmail.com;161600099;10102809
Bruno da Rocha;;04/09/1970;Rua  Lidador|101|4100-309|PORTO;953231311;953231311@gmail.com;161600100;10102810
Francisco Gonçalves;;14/11/1971;Rua  Lidador|569|4100-304|PORTO;953231312;953231312@gmail.com;161600101;10102811
Emanuella da Rocha;;21/08/1969;Rua  Lidador|167|4100-305|PORTO;953231313;953231313@gmail.com;161600102;10102812
Sr. Carlos Eduardo Barros;;23/08/1969;Praça  Liége|334|4150-455|PORTO;953231314;953231314@gmail.com;161600103;10102813
Lucca da Luz;;01/05/1969;Rua  Lilases|354|4350-212|PORTO;953231315;953231315@gmail.com;161600104;10102814
Agatha Rocha;;17/02/1972;Rua  Lima|231|4200-366|PORTO;953231316;953231316@gmail.com;161600105;10102815
Davi Lucca Rodrigues;;07/01/1968;Rua  Lima Júnior|554|4200-368|PORTO;953231317;953231317@gmail.com;161600106;10102816
Isabelly da Paz;;21/10/1969;Rua  Lima Júnior|309|4200-367|PORTO;953231318;953231318@gmail.com;161600107;10102817
Laís Silveira;;17/11/1971;Rua  Limpopo|401|4250-264|PORTO;953231319;953231319@gmail.com;161600108;10102818
Cecília Rocha;;05/11/1969;Rua  Alves Redol|584|4050-43|PORTO;953231320;953231320@gmail.com;161600109;10102819
Kaique Cardoso;;06/03/1971;Rua  Alves Redol|473|4050-532|PORTO;953231321;953231321@gmail.com;161600110;10102820
Lavínia Cavalcanti;;31/08/1969;Rua  Alves Redol|386|4050-43|PORTO;953231322;953231322@gmail.com;161600111;10102821
António Araújo;;06/07/1969;Rua  Alves Redol|402|4050-42|PORTO;953231323;953231323@gmail.com;161600112;10102822
Luiz Otávio Alves;;16/06/1970;Rua  Lindo Vale|336|4200-371|PORTO;953231324;953231324@gmail.com;161600113;10102823
Luiz Gustavo Jesus;;15/06/1973;Rua  Lindo Vale|353|4200-372|PORTO;953231325;953231325@gmail.com;161600114;10102824
Ana Clara Cardoso;;02/10/1969;Rua  Lindo Vale|246|4200-369|PORTO;953231326;953231326@gmail.com;161600115;10102825
Dra. Julia Viana;;29/11/1971;Rua  Lindo Vale|226|4200-370|PORTO;953231327;953231327@gmail.com;161600116;10102826
Yasmin Costela;;13/09/1970;Rua  Linhas de Elvas|586|4350-213|PORTO;953231328;953231328@gmail.com;161600117;10102827
Dr. Lucas Dias;;02/09/1970;Rua  Lírios|72|4250-265|PORTO;953231329;953231329@gmail.com;161600118;10102828
Srta. Mariana Silva;;28/06/1969;Rua  Lis|593|4200-373|PORTO;953231330;953231330@gmail.com;161600119;10102829
Raul Cunha;;06/02/1969;Praça  Lisboa|175|4050-337|PORTO;953231331;953231331@gmail.com;161600120;10102830
João Vitor Almeida;;09/03/1969;Largo  Lóios|486|4050-338|PORTO;953231332;953231332@gmail.com;161600121;10102831
Erick Gomes;;29/07/1970;Rua  Lomba|425|4300-301|PORTO;953231333;953231333@gmail.com;161600122;10102832
Davi Costela;;07/02/1971;Rua  Lomba|304|4300-300|PORTO;953231334;953231334@gmail.com;161600123;10102833
Luiz Henrique Pires;;25/10/1968;Rua  Lomba|210|4300-299|PORTO;953231335;953231335@gmail.com;161600124;10102834
Dr. Juan Santos;;26/03/1969;Rua  Lomba|513|4300-297|PORTO;953231336;953231336@gmail.com;161600125;10102835
Calebe Melo;;25/02/1969;Rua  Lomba|439|4300-298|PORTO;953231337;953231337@gmail.com;161600126;10102836
Rodrigo Silveira;;21/12/1970;Travessa  Lomba|429|4300-303|PORTO;953231338;953231338@gmail.com;161600127;10102837
Lucas da Cruz;;28/09/1970;Travessa  Lomba|108|4300-302|PORTO;953231339;953231339@gmail.com;161600128;10102838
Enzo Moreira;;30/06/1972;Rua  Lopo Soares de Albergaria|271|4100-310|PORTO;953231340;953231340@gmail.com;161600129;10102839
Enrico Melo;;09/10/1968;Rua  Loureiro|109|4000-328|PORTO;953231341;953231341@gmail.com;161600130;10102840
Sophie Fernandes;;28/01/1970;Rua  Loureiro|148|4000-326|PORTO;953231342;953231342@gmail.com;161600131;10102841
Lucas Rezende;;06/02/1970;Rua  Loureiro|83|4000-327|PORTO;953231343;953231343@gmail.com;161600132;10102842
Luiz Fernando Mendes;;17/03/1970;Rua  Loureiro|150|4000-326|PORTO;953231344;953231344@gmail.com;161600133;10102843
Ana Laura Cardoso;;17/05/1971;Travessa  Loureiro|221|4000-329|PORTO;953231345;953231345@gmail.com;161600134;10102844
Alexandre Farias;;29/04/1970;Rua  Lourenço|230|4300-306|PORTO;953231346;953231346@gmail.com;161600135;10102845
Dr. Miguel Teixeira;;31/08/1972;Rua  Lourenço|583|4300-305|PORTO;953231347;953231347@gmail.com;161600136;10102846
Raul da Mota;;12/01/1970;Rua  Lousada|110|4100-311|PORTO;953231348;953231348@gmail.com;161600137;10102847
Emanuelly Freitas;;14/07/1968;Rua  Lugarinho|16|4250-268|PORTO;953231349;953231349@gmail.com;161600138;10102848
Isabella Cunha;;09/03/1969;Rua  Lugarinho|417|4250-267|PORTO;953231350;953231350@gmail.com;161600139;10102849
João Vitor Cardoso;;11/07/1973;Rua  Lugarinho|178|4250-266|PORTO;953231351;953231351@gmail.com;161600140;10102850
Breno Martins;;29/05/1970;Rua  Luís de Aguiar|409|4250-270|PORTO;953231352;953231352@gmail.com;161600141;10102851
Kevin Rodrigues;;15/05/1968;Rua  Luís de Aguiar|175|4250-269|PORTO;953231353;953231353@gmail.com;161600142;10102852
Davi da Mota;;19/06/1972;Praceta  Luís António Verney|541|4100-312|PORTO;953231354;953231354@gmail.com;161600143;10102853
Manuela Martins;;12/05/1968;Rua  Luís Cruz|318|4150-468|PORTO;953231355;953231355@gmail.com;161600144;10102854
Rafaela Silva;;09/02/1971;Rua  Luís Cruz|539|4150-467|PORTO;953231356;953231356@gmail.com;161600145;10102855
Davi da Cruz;;17/02/1972;Travessa  Luís Cruz|277|4150-469|PORTO;953231357;953231357@gmail.com;161600146;10102856
Ana Julia Gomes;;15/09/1967;Rua  Luís Serrão Pimentel|455|4150-474|PORTO;953231358;953231358@gmail.com;161600147;10102857
Emilly Gomes;;29/11/1969;Rua  Luís Veiga Leitão|487|4099-6|PORTO;953231359;953231359@gmail.com;161600148;10102858
Dra. Lorena Castro;;08/05/1968;Rua  Luís Veiga Leitão|163|4050-339|PORTO;953231360;953231360@gmail.com;161600149;10102859
Eduarda Pinto;;10/12/1970;Rua  Luís Woodhouse|282|4200-378|PORTO;953231361;953231361@gmail.com;161600150;10102860
Rafaela Vieira;;17/01/1969;Rua  Luís Woodhouse|579|4200-379|PORTO;953231362;953231362@gmail.com;161600151;10102861
Maria Julia Carvalho;;20/01/1968;Rua  Luís Woodhouse|511|4200-376|PORTO;953231363;953231363@gmail.com;161600152;10102862
Erick Cardoso;;16/06/1968;Rua  Luís Woodhouse|345|4200-377|PORTO;953231364;953231364@gmail.com;161600153;10102863
Srta. Fernanda Dias;;22/08/1970;Rua  Lumiar|3|4350-219|PORTO;953231365;953231365@gmail.com;161600154;10102864
Melissa da Conceição;;19/08/1969;Rua  Luz Soriano|72|4200-381|PORTO;953231366;953231366@gmail.com;161600155;10102865
João Ramos;;12/04/1965;Rua  Luz Soriano|251|4200-380|PORTO;953231367;953231367@gmail.com;161600156;10102866
Sarah Sales;;06/09/1965;Travessa  Luz Soriano|203|4200-382|PORTO;953231368;953231368@gmail.com;161600157;10102867
Larissa Barros;;09/11/1966;Rua  Macau|311|4100-315|PORTO;953231369;953231369@gmail.com;161600158;10102868
Alice Gomes;;04/02/1969;Calçada  Maceda|156|4300-307|PORTO;953231370;953231370@gmail.com;161600159;10102869
Joaquim Melo;;15/05/1965;Largo  Maceda|156|4300-308|PORTO;953231371;953231371@gmail.com;161600160;10102870
Caroline Martins;;12/06/1966;Rua  Maceda|211|4300-309|PORTO;953231372;953231372@gmail.com;161600161;10102871
Maria Luiza Monteiro;;02/12/1966;Rua  Amália Luazes|420|4200-52|PORTO;953231373;953231373@gmail.com;161600162;10102872
Carlos Eduardo Moraes;;28/04/1962;Travessa  Maceda|155|4300-310|PORTO;953231374;953231374@gmail.com;161600163;10102873
Arthur Costela;;22/03/1964;Viela  Maceda|382|4300-311|PORTO;953231375;953231375@gmail.com;161600164;10102874
Daniela Silveira;;25/11/1967;Beco  Machado|140|4100-316|PORTO;953231376;953231376@gmail.com;161600165;10102875
Dr. Ian da Rocha;;02/03/1965;Rua  Macieiras|13|4100-317|PORTO;953231377;953231377@gmail.com;161600166;10102876
Augusto Melo;;27/01/1967;Rua  Macieirinha|505|4050-341|PORTO;953231378;953231378@gmail.com;161600167;10102877
Augusto Rodrigues;;02/10/1965;Rua  Madeira|288|4000-331|PORTO;953231379;953231379@gmail.com;161600168;10102878
